86	0.3359375	0.55078125	0.37109375	0.16015625	0.0859375
141	0.55078125	0.37109375	0.16015625	0.0859375	0.08203125
95	0.37109375	0.16015625	0.0859375	0.08203125	0.125
41	0.16015625	0.0859375	0.08203125	0.125	0.28125
22	0.0859375	0.08203125	0.125	0.28125	0.5390625
21	0.08203125	0.125	0.28125	0.5390625	0.43359375
32	0.125	0.28125	0.5390625	0.43359375	0.1875
72	0.28125	0.5390625	0.43359375	0.1875	0.08984375
138	0.5390625	0.43359375	0.1875	0.08984375	0.07421875
111	0.43359375	0.1875	0.08984375	0.07421875	0.10546875
48	0.1875	0.08984375	0.07421875	0.10546875	0.23046875
23	0.08984375	0.07421875	0.10546875	0.23046875	0.50390625
19	0.07421875	0.10546875	0.23046875	0.50390625	0.50390625
27	0.10546875	0.23046875	0.50390625	0.50390625	0.2265625
59	0.23046875	0.50390625	0.50390625	0.2265625	0.10546875
129	0.50390625	0.50390625	0.2265625	0.10546875	0.07421875
129	0.50390625	0.2265625	0.10546875	0.07421875	0.09375
58	0.2265625	0.10546875	0.07421875	0.09375	0.1796875
27	0.10546875	0.07421875	0.09375	0.1796875	0.4375
19	0.07421875	0.09375	0.1796875	0.4375	0.5625
24	0.09375	0.1796875	0.4375	0.5625	0.28515625
46	0.1796875	0.4375	0.5625	0.28515625	0.1171875
112	0.4375	0.5625	0.28515625	0.1171875	0.078125
144	0.5625	0.28515625	0.1171875	0.078125	0.07421875
73	0.28515625	0.1171875	0.078125	0.07421875	0.14453125
30	0.1171875	0.078125	0.07421875	0.14453125	0.359375
20	0.078125	0.07421875	0.14453125	0.359375	0.59375
19	0.07421875	0.14453125	0.359375	0.59375	0.36328125
37	0.14453125	0.359375	0.59375	0.36328125	0.140625
92	0.359375	0.59375	0.36328125	0.140625	0.078125
152	0.59375	0.36328125	0.140625	0.078125	0.0703125
93	0.36328125	0.140625	0.078125	0.0703125	0.11328125
36	0.140625	0.078125	0.0703125	0.11328125	0.27734375
20	0.078125	0.0703125	0.11328125	0.27734375	0.5703125
18	0.0703125	0.11328125	0.27734375	0.5703125	0.45703125
29	0.11328125	0.27734375	0.5703125	0.45703125	0.1796875
71	0.27734375	0.5703125	0.45703125	0.1796875	0.08984375
146	0.5703125	0.45703125	0.1796875	0.08984375	0.0703125
117	0.45703125	0.1796875	0.08984375	0.0703125	0.0859375
46	0.1796875	0.08984375	0.0703125	0.0859375	0.203125
23	0.08984375	0.0703125	0.0859375	0.203125	0.5
18	0.0703125	0.0859375	0.203125	0.5	0.5546875
22	0.0859375	0.203125	0.5	0.5546875	0.2421875
52	0.203125	0.5	0.5546875	0.2421875	0.1015625
128	0.5	0.5546875	0.2421875	0.1015625	0.06640625
142	0.5546875	0.2421875	0.1015625	0.06640625	0.07421875
62	0.2421875	0.1015625	0.06640625	0.07421875	0.14453125
26	0.1015625	0.06640625	0.07421875	0.14453125	0.390625
17	0.06640625	0.07421875	0.14453125	0.390625	0.6171875
19	0.07421875	0.14453125	0.390625	0.6171875	0.3359375
37	0.14453125	0.390625	0.6171875	0.3359375	0.125
100	0.390625	0.6171875	0.3359375	0.125	0.06640625
158	0.6171875	0.3359375	0.125	0.06640625	0.06640625
86	0.3359375	0.125	0.06640625	0.06640625	0.10546875
32	0.125	0.06640625	0.06640625	0.10546875	0.28125
17	0.06640625	0.06640625	0.10546875	0.28125	0.6015625
17	0.06640625	0.10546875	0.28125	0.6015625	0.4609375
27	0.10546875	0.28125	0.6015625	0.4609375	0.16796875
72	0.28125	0.6015625	0.4609375	0.16796875	0.078125
154	0.6015625	0.4609375	0.16796875	0.078125	0.05859375
118	0.4609375	0.16796875	0.078125	0.05859375	0.08203125
43	0.16796875	0.078125	0.05859375	0.08203125	0.18359375
20	0.078125	0.05859375	0.08203125	0.18359375	0.5
15	0.05859375	0.08203125	0.18359375	0.5	0.5859375
21	0.08203125	0.18359375	0.5	0.5859375	0.24609375
47	0.18359375	0.5	0.5859375	0.24609375	0.09375
128	0.5	0.5859375	0.24609375	0.09375	0.0625
150	0.5859375	0.24609375	0.09375	0.0625	0.06640625
63	0.24609375	0.09375	0.0625	0.06640625	0.12890625
24	0.09375	0.0625	0.06640625	0.12890625	0.359375
16	0.0625	0.06640625	0.12890625	0.359375	0.6484375
17	0.06640625	0.12890625	0.359375	0.6484375	0.37109375
33	0.12890625	0.359375	0.6484375	0.37109375	0.12890625
